id,data_provider,product_category,brand,year_of_manufacture,repair_status,group_identifier,date,problem,,,
restart_1405,The Restart Project,Laptop medium,Apple,????,Unknown,Restart HQ,2015-01-14,Laptop - Not working -,,,
restart_1406,The Restart Project,Kettle,Unknown,????,End of life,Restart HQ,2015-01-14,"Kettle - Lights on, no heat -",,,
restart_1407,The Restart Project,Aircon/Dehumidifier,Unknown,????,Fixed,Restart HQ,2015-01-14,Heater - No heat -,,,
restart_1408,The Restart Project,Laptop medium,Apple,????,Repairable,Restart HQ,2015-01-14,Laptop - Overheats - Unable to replicate problem,,,
restart_1409,The Restart Project,Aircon/Dehumidifier,Unknown,????,End of life,Restart HQ,2015-01-14,Small fan heater - Makes noise and smells -,,,
restart_1410,The Restart Project,Tablet,Apple,????,Repairable,Restart HQ,2015-01-14,Tablet - Screen issue - DIY ready,,,
restart_1411,The Restart Project,Kettle,Unknown,????,Fixed,Restart HQ,2015-01-14,Kettle - Bad contact to base -,,,
restart_1412,The Restart Project,Hair & Beauty item,Unknown,????,Fixed,Restart HQ,2015-01-14,Hair straightner - bad connection -,,,
restart_1413,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-01-14,Headphones - cable broke -,,,
restart_1414,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2015-01-14,Subwoofer - Buzzing - Unable to replicate problem,,,
restart_1415,The Restart Project,Desktop computer,Apple,????,Repairable,Restart HQ,2015-01-14,PC computer - Hardware? - No time,,,
restart_1416,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-01-14,Headphones - Bad connection -,,,
restart_1417,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-01-14,Power adapter - Not charging - Needs new power supply,,,
restart_1418,The Restart Project,Portable radio,Unknown,????,Fixed,Restart HQ,2015-02-14,DAB radio - Power supply faulty -,,,
restart_1419,The Restart Project,Laptop small,Unknown,????,Fixed,Restart HQ,2015-02-14,Netbook - Running slow -,,,
restart_1420,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2015-02-14,Tablet - configuration problem -,,,
restart_1421,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-02-14,Mobile charger - Not charging - Needed new USB port,,,
restart_1422,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-02-14,Laptop - Mouse freezing/jumping -,,,
restart_1423,The Restart Project,PC Accessory,Apple,????,Fixed,Restart HQ,2015-02-14,Power adapter - Frayed - Sugrued,,,
restart_1424,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2015-02-14,Mini stereo - CD tray playing up -,,,
restart_1425,The Restart Project,Handheld entertainment device,Apple,????,Repairable,Restart HQ,2015-02-14,MP3 player - One channel - DIY ready,,,
restart_1426,The Restart Project,Portable radio,Unknown,????,Repairable,Restart HQ,2015-02-14,Small clock radio - No power - Needs more time,,,
restart_1427,The Restart Project,Small kitchen item,Unknown,????,End of life,Restart HQ,2015-02-14,Food processor - Intermittent fault - Needs new motor currently safe,,,
restart_1428,The Restart Project,Kettle,Unknown,????,Fixed,Restart HQ,2015-02-14,Kettle - No power -,,,
restart_1429,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-02-14,Laptop - Bad sound jack -,,,
restart_1430,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-02-14,Headphones - Coming apart -,,,
restart_1431,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2015-02-17,CD player - Erratic behaviour -,,,
restart_1432,The Restart Project,PC Accessory,Samsung,????,Fixed,Restart HQ,2015-02-17,Laptop charger - Not charging -,,,
restart_1433,The Restart Project,Vacuum,Miele,????,End of life,Restart HQ,2015-02-17,Vacuum - Stopped - Dead,,,
restart_1434,The Restart Project,"Flat screen 22-24""",Unknown,????,End of life,Restart HQ,2015-02-17,LCD screen - Screen issue -,,,
restart_1435,The Restart Project,Lamp,Unknown,????,Fixed,Restart HQ,2015-02-17,Lamp - Not work -,,,
restart_1436,The Restart Project,Musical instrument,Unknown,????,Fixed,Restart HQ,2015-02-17,Jukebox - Can't access other discs -,,,
restart_1437,The Restart Project,Tablet,Apple,????,Repairable,Restart HQ,2015-02-17,Tablet - Screen issue - Needs correct spares,,,
restart_1438,The Restart Project,Laptop medium,Unknown,????,Unknown,Restart HQ,2015-02-17,Laptop - No sound -,,,
restart_1439,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2015-02-17,Speaker system - Plug faulty -,,,
restart_1440,The Restart Project,Printer/scanner,Unknown,????,End of life,Restart HQ,2015-02-17,Printer - Ink management -,,,
restart_1441,The Restart Project,Decorative or safety lights,Unknown,????,Fixed,Restart HQ,2015-02-17,Watch - Part blocking -,,,
restart_1442,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-02-17,Headphones - Cable broken -,,,
restart_1443,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-03-21,PC power supply - Bad caps - Brought the wrong capacitors,,,
restart_1444,The Restart Project,DLSR / Video Camera,Unknown,????,Fixed,Restart HQ,2015-03-21,"Video digicam - No image, no data signal -",,,
restart_1445,The Restart Project,Hi-Fi integrated,Sony,????,End of life,Restart HQ,2015-03-21,Mini stereo - Sound cuts out after while -,,,
restart_1446,The Restart Project,PC Accessory,Apple,????,End of life,Restart HQ,2015-03-21,Mini computer - No sign of life - Probably the logicboard,,,
restart_1447,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-03-21,Laptop - Running slow -,,,
restart_1448,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2015-03-21,"Kettle - Lights on, no heat - Heating element",,,
restart_1449,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2015-03-21,Mini stereo - CD player broken -,,,
restart_1450,The Restart Project,Handheld entertainment device,Apple,????,End of life,Restart HQ,2015-03-21,MP3 player - Screen issue - No time,,,
restart_1451,The Restart Project,Tablet,Amazon,????,End of life,Restart HQ,2015-03-21,Tablet - No sign of life -,,,
restart_1452,The Restart Project,TV and gaming-related accessories,Sony,????,Repairable,Restart HQ,2015-03-21,Game console - Input loose - Needs a spare,,,
restart_1453,The Restart Project,TV and gaming-related accessories,Nintendo,????,Fixed,Restart HQ,2015-03-21,Game console - Image faulty - Was the cable,,,
restart_1454,The Restart Project,Hair & Beauty item,Unknown,????,End of life,Restart HQ,2015-03-21,Hair straightner - No heat -,,,
restart_1455,The Restart Project,Hi-Fi separates,Unknown,????,Fixed,Restart HQ,2015-04-07,DAT machine - Jack broke inside -,,,
restart_1456,The Restart Project,Hi-Fi separates,Unknown,????,Repairable,Restart HQ,2015-04-07,Amplifier - - Needs more work,,,
restart_1457,The Restart Project,Laptop medium,Samsung,????,Fixed,Restart HQ,2015-04-07,Laptop - Mouse being erratic -,,,
restart_1458,The Restart Project,Decorative or safety lights,Unknown,????,Fixed,Restart HQ,2015-04-07,Bike light - Probably dry solder -,,,
restart_1459,The Restart Project,Paper shredder,Unknown,????,Fixed,Restart HQ,2015-04-07,Paper shredder - Only works in reverse - Midas touch,,,
restart_1460,The Restart Project,Laptop medium,HP,????,Fixed,Restart HQ,2015-04-07,Laptop - Screen issue - Needs follow-up,,,
restart_1461,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-04-07,PC power supply - Pulses - DIY ready,,,
restart_1462,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restart HQ,2015-04-07,Ice shaver - No power - Switch fixed,,,
restart_1463,The Restart Project,Portable radio,Unknown,????,End of life,Restart HQ,2015-04-07,DAB radio - Probably dry solder - Mystery,,,
restart_1464,The Restart Project,Tablet,Motorola,????,Fixed,Restart HQ,2015-04-07,Tablet - Does not charge -,,,
restart_1465,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-04-07,External speakers - Buzzing no sound - Diagnosed but spares needed,,,
restart_1466,The Restart Project,Laptop medium,Apple,????,End of life,Restart HQ,2015-04-07,Laptop - No power - Motherboard,,,
restart_1467,The Restart Project,DLSR / Video Camera,Sony,????,Repairable,Restart HQ,2015-04-07,Video digicam - Overheating message - Trying a new SD card,,,
restart_1468,The Restart Project,Vacuum,Dyson,????,Fixed,Restart HQ,2015-04-07,Vacuum - Works but clicks -,,,
restart_1469,The Restart Project,Lamp,Unknown,????,Repairable,Restart HQ,2015-04-07,Lamp - No power - Transformer,,,
restart_1470,The Restart Project,Laptop medium,Apple,????,End of life,Restart HQ,2015-04-07,Laptop - Jack broke inside - Tried everything!,,,
restart_1471,The Restart Project,Digital Compact Camera,Unknown,????,End of life,Restart HQ,2015-04-07,"Digital compact camera - Lens issue - No time, advice given",,,
restart_1472,The Restart Project,Small kitchen item,Unknown,????,End of life,Restart HQ,2015-04-07,"Breadmaker - No power - No time, advice given",,,
restart_1473,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2015-04-07,External speakers - No power -,,,
restart_1474,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-04-25,Laptop - Running slow - Antivirus help,,,
restart_1475,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2015-04-25,"Kettle - Mechanism - Cleaned but would have to take greater risk to ""fix""",,,
restart_1476,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2015-04-25,Kettle - No heat - Contact remade,,,
restart_1477,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-04-25,Laptop - Linux configuration -,,,
restart_1478,The Restart Project,Headphones,Unknown,????,Repairable,Restart HQ,2015-04-25,Headphones - Continuity - Needs further work,,,
restart_1479,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2015-04-25,"DVD player - Problem with the tray? Intermittent - Motor broken, not economical",,,
restart_1480,The Restart Project,Vacuum,Unknown,????,Repairable,Restart HQ,2015-04-25,Handheld vacuum - No power - Needs a new battery,,,
restart_1481,The Restart Project,Portable radio,Unknown,????,Fixed,Restart HQ,2015-04-25,DAB radio - On/off switch bad -,,,
restart_1482,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restart HQ,2015-04-25,Blender - intermittent fault -,,,
restart_1483,The Restart Project,Kettle,Unknown,????,End of life,Restart HQ,2015-04-25,Kettle - No heat - Safety screws,,,
restart_1484,The Restart Project,Laptop large,Apple,????,Repairable,Restart HQ,2015-04-25,Laptop - Does not boot - Needs new HD,,,
restart_1485,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restart HQ,2015-04-25,"Juicer - Gets power, no turning - Cleaned",,,
restart_1486,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2015-04-25,Digital compact camera - Does not focus - Too difficult a repair,,,
restart_1487,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2015-04-25,Hard drive - Needs to save a HD -,,,
restart_1488,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-04-25,iPhone charger - Continuity - Not enough time,,,
restart_1489,The Restart Project,DLSR / Video Camera,Unknown,????,Repairable,Restart HQ,2015-04-25,Analog camera - Shutter - Not enough time,,,
restart_1490,The Restart Project,Tablet,Unknown,????,Fixed,Restart HQ,2015-04-25,Tablet - Configuring antivirus -,,,
restart_1491,The Restart Project,Hi-Fi integrated,Unknown,????,End of life,Restart HQ,2015-04-25,Hifi integrated - Switching modes spontaneously -,,,
restart_1492,The Restart Project,Toaster,Unknown,????,End of life,Restart HQ,2015-04-25,Toaster - Heating element - No spare available,,,
restart_1493,The Restart Project,Laptop medium,Apple,????,Repairable,Restart HQ,2015-04-25,Laptop - Running slow - DIY memory upgrade needed,,,
restart_1494,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2015-04-25,Laptop - Video display -,,,
restart_1495,The Restart Project,Laptop medium,ASUS,????,Fixed,Restart HQ,2015-05-05,Laptop - DVD hard drive deleted - Driver updated and cleaner,,,
restart_1496,The Restart Project,Digital Compact Camera,Sony,????,Repairable,Restart HQ,2015-05-05,Camera - Overheating message - Will be fixed next time,,,
restart_1497,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-05-05,Laptop - Screws dodgy -,,,
restart_1498,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2015-05-05,Laptop - Software fault - DIY Ready,,,
restart_1499,The Restart Project,Power tool,Unknown,????,Unknown,Restart HQ,2015-05-05,Electric drill - No power - Wrong power supply,,,
restart_1500,The Restart Project,"Flat screen 22-24""",Unknown,????,Repairable,Restart HQ,2015-05-05,LCD screen - Intermittent fault - Needs new capacitors,,,
restart_1501,The Restart Project,Mobile,Unknown,????,Repairable,Restart HQ,2015-05-05,"Mobile - Software fault - Diagnosed, needs new battery",,,
restart_1502,The Restart Project,Laptop medium,Compaq,????,Fixed,Restart HQ,2015-05-05,Laptop - Screen issue - Pirate Windows 7,,,
restart_1503,The Restart Project,Tablet,Unknown,????,End of life,Restart HQ,2015-05-05,Tablet - Doesn't boot -,,,
restart_1504,The Restart Project,Mobile,Apple,????,Fixed,Restart HQ,2015-05-05,Mobile - Screen issue -,,,
restart_1505,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-05-05,Laptop - No power - Power settings,,,
restart_1506,The Restart Project,TV and gaming-related accessories,Unknown,????,Fixed,Restart HQ,2015-05-05,DVD player - Disc stuck - We think!,,,
restart_1507,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-05-05,Laptop - No power -,,,
restart_1508,The Restart Project,Mobile,HTC,????,Repairable,Restart HQ,2015-05-05,Mobile - Screen issue - Helped source a spare part,,,
restart_1509,The Restart Project,Vacuum,Unknown,????,End of life,Restart HQ,2015-05-05,Carpet shampooer - Brush won't turn - Dead,,,
restart_1510,The Restart Project,Mobile,Apple,????,Fixed,Restart HQ,2015-05-05,Mobile - Earphone jack -,,,
restart_1511,The Restart Project,Mobile,Apple,????,End of life,Restart HQ,2015-05-05,Mobile - Mic problem -,,,
restart_1512,The Restart Project,Mobile,BlackBerry,????,Repairable,Restart HQ,2015-05-05,Mobile - Cracked screen - Needs new part,,,
restart_1513,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2015-05-05,"Laptop - Doesn't boot - ""Sort of"" fixed",,,
restart_1514,The Restart Project,Vacuum,Unknown,????,End of life,Restart HQ,2015-06-29,Minivac,,,
restart_1515,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-06-29,"""Password issue""",,,
restart_1516,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-06-29,Wants a new OS,,,
restart_1517,The Restart Project,Headphones,Unknown,????,End of life,Restart HQ,2015-06-29,,,,
restart_1518,The Restart Project,Hi-Fi integrated,Unknown,????,Repairable,Restart HQ,2015-06-29,Actually a jukebox - helped with 2 circuit boards but cannot test,,,
restart_1519,The Restart Project,Tablet,Apple,????,Repairable,Restart HQ,2015-06-29,"Screen cracked, but no heat gun.",,,
restart_1520,The Restart Project,Small kitchen item,KitchenAid,????,Fixed,Restart HQ,2015-06-29,Blender. Small part needed replacing or hacking.,,,
restart_1521,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-06-29,"""Haunted cursor"" - third time we've seen it and we finally fixed it.",,,
restart_1522,The Restart Project,Mobile,Unknown,????,End of life,Restart HQ,2015-06-29,Will not charge,,,
restart_1523,The Restart Project,Toy,Unknown,????,Fixed,Restart HQ,2015-06-29,Music will not play.,,,
restart_1524,The Restart Project,Vacuum,Unknown,????,Repairable,Restart HQ,2015-06-29,Battery fault.,,,
restart_1525,The Restart Project,Toaster,Unknown,????,Fixed,Restart HQ,2015-06-29,,,,
restart_1526,The Restart Project,Laptop medium,Apple,????,Fixed,Restart HQ,2015-06-29,Running slow.,,,
restart_1527,The Restart Project,Printer/scanner,HP,????,Fixed,Restart HQ,2015-07-11,Paper feed problem. Found a work-around,,,
restart_1528,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-07-11,Almost boots but then shuts down,,,
restart_1529,The Restart Project,Toaster,Dualit,????,Repairable,Restart HQ,2015-07-11,One element?,,,
restart_1530,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2015-07-11,Bluetooth speaker. It was a battery issue,,,
restart_1531,The Restart Project,Vacuum,Dyson,????,Fixed,Restart HQ,2015-07-11,Cuts out. Needs to be broken to be opened.,,,
restart_1532,The Restart Project,Hair & Beauty item,BaByliss,????,Fixed,Restart HQ,2015-07-11,"Hair straightner. ""Crackling""",,,
restart_1533,The Restart Project,Mobile,Apple,????,Fixed,Restart HQ,2015-07-11,Dropped - no sign of life. (Was actually ok),,,
restart_1534,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2015-07-11,"Bluetooth speaker. No sound. Had a ""dodgy wire""",,,
restart_1535,The Restart Project,"Flat screen 32-37""",Blaupunkt,????,Fixed,Restart HQ,2015-07-11,It was just the switch.,,,
restart_1536,The Restart Project,Handheld entertainment device,Nintendo,????,Repairable,Restart HQ,2015-07-11,DS console - couldn't find a charger,,,
restart_1537,The Restart Project,Toy,Unknown,????,Fixed,Restart HQ,2015-07-11,RC car - fixed the remote,,,
restart_1538,The Restart Project,Hair & Beauty item,Unknown,????,Fixed,Restart HQ,2015-07-11,"Shaver, smoke came out.",,,
restart_1539,The Restart Project,PC Accessory,Unknown,????,Repairable,Restart HQ,2015-07-11,Another Bluetooth speaker. Something loose inside,,,
restart_1540,The Restart Project,Projector,Unknown,????,Repairable,Restart HQ,2015-07-11,"smelled burning, ID'ed spares.",,,
restart_1541,The Restart Project,Mobile,Unknown,????,Repairable,Restart HQ,2015-07-11,Camera not working. Needs a factory reset.,,,
restart_1542,The Restart Project,Power tool,Unknown,????,Fixed,Restart HQ,2015-07-11,Hedge trimmer. The cable had been damaged.,,,
restart_1543,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2015-07-11,Chromebook with an error message.,,,
restart_1544,The Restart Project,Laptop small,Unknown,????,Fixed,Restart HQ,2015-07-11,Won't boot. Cleaned the RAM and it works.,,,
restart_1545,The Restart Project,Mobile,Samsung,????,Fixed,Restart HQ,2015-08-11,Screen cracked,,,
restart_1546,The Restart Project,DLSR / Video Camera,Sony,????,Repairable,Restart HQ,2015-08-11,Still needs to figure out why the new HD is not being read.,,,
restart_1547,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-08-11,,,,
restart_1548,The Restart Project,Mobile,Apple,2012,Repairable,Restarters West London,2015-07-25,Spare screen purchased by the person before they came but it wasn't the right one for this phone. Advised them to come back to another party.,,,
restart_1549,The Restart Project,Mobile,Apple,2017,Repairable,Restarters West London,2015-07-25,Person came to party with cracked screen. Restarter told them they needed to buy a screen. They went away and got one and after some time trying to fit it the Restarter said it was the wrong screen.,,,
restart_1550,The Restart Project,Handheld entertainment device,Apple,????,Repairable,Restarters West London,2015-07-25,Had no power. Restarter told person that they needed to get a new battery and gave them information verbally on how to open it and fit. The person said that she will try to do this and if she couldn't get into it then she would return for help.,,,
restart_1551,The Restart Project,TV and gaming-related accessories,Sony,????,Repairable,Restarters West London,2015-07-25,Game console which does power on but them loses power a few minutes later. Outcome was that parts were needed and the owner wanted to find cheaper parts and try to fit them himself,,,
restart_1552,The Restart Project,Mobile,Apple,2012,Fixed,Sponsored events,2015-05-01,screen broken,,,
restart_1553,The Restart Project,Small kitchen item,Unknown,????,Fixed,Sponsored events,2015-05-01,salt pepper grinder - wasn't working,,,
restart_1554,The Restart Project,Mobile,Apple,2011,Fixed,Sponsored events,2015-05-01,back and front screen,,,
restart_1555,The Restart Project,Misc,Unknown,????,Fixed,Sponsored events,2015-05-01,multimeter,,,
restart_1556,The Restart Project,Misc,Unknown,????,Fixed,Sponsored events,2015-05-01,,,,
restart_1557,The Restart Project,Laptop medium,Apple,????,Repairable,Sponsored events,2015-05-01,screen broken,,,
restart_1558,The Restart Project,Mobile,Apple,2014,Fixed,Sponsored events,2015-05-01,screen broken,,,
restart_1559,The Restart Project,PC Accessory,Apple,????,Repairable,Sponsored events,2015-05-01,keyboard,,,
restart_1560,The Restart Project,TV and gaming-related accessories,Unknown,????,Fixed,Sponsored events,2015-05-01,TV remote not working,,,
restart_1561,The Restart Project,TV and gaming-related accessories,Unknown,????,Repairable,Sponsored events,2015-05-01,TV remote not working,,,
restart_1562,The Restart Project,Digital Compact Camera,Polaroid,????,End of life,Sponsored events,2015-05-01,stopped working,,,
restart_1563,The Restart Project,Handheld entertainment device,Apple,????,Repairable,Sponsored events,2015-05-01,,,,
restart_1564,The Restart Project,Digital Compact Camera,Polaroid,????,End of life,Sponsored events,2015-05-01,,,,
restart_1565,The Restart Project,Mobile,Apple,2012,Fixed,Sponsored events,2015-05-01,broken screen,,,
restart_1566,The Restart Project,Mobile,Apple,2012,Repairable,Sponsored events,2015-05-01,,,,
restart_1567,The Restart Project,"Flat screen 32-37""",Unknown,????,Repairable,Restart HQ,2015-08-11,Internal DVD player broken. Found work around.,,,
restart_1568,The Restart Project,Portable radio,Denon,????,End of life,Restart HQ,2015-08-11,,,,
restart_1569,The Restart Project,Tablet,Amazon,????,Repairable,Restart HQ,2015-08-11,Could not wake from sleep after a drop.,,,
restart_1570,The Restart Project,Misc,Unknown,????,Fixed,Restart HQ,2015-08-11,"Iron was ""dusty""",,,
restart_1571,The Restart Project,Mobile,Unknown,????,Fixed,Restart HQ,2015-08-11,Will not communicate with computer,,,
restart_1572,The Restart Project,Desktop computer,Philips,????,Fixed,Restart HQ,2015-08-11,Work around for broken power switch,,,
restart_1573,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-08-11,Broken connection,,,
restart_1574,The Restart Project,Mobile,Fairphone,????,Fixed,Restart HQ,2015-08-11,,,,
restart_1575,The Restart Project,Mobile,Fairphone,????,Fixed,Restart HQ,2015-08-11,,,,
restart_1576,The Restart Project,Mobile,Fairphone,????,End of life,Restart HQ,2015-08-11,,,,
restart_1577,The Restart Project,Misc,Unknown,????,End of life,Restart HQ,2015-08-11,,,,
restart_1578,The Restart Project,Desktop computer,HP,????,Fixed,Restart HQ,2015-08-11,Linux mint clean install,,,
restart_1579,The Restart Project,Laptop medium,Lenovo,????,Fixed,Restart HQ,2015-08-11,Notebook - Linux mint install,,,
restart_1580,The Restart Project,Laptop medium,Apple,????,Repairable,Restart HQ,2015-08-11,Screen issue,,,
restart_1581,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-08-11,Needs resoldering,,,
restart_1582,The Restart Project,Tablet,Samsung,????,Repairable,Restart HQ,2015-08-11,"Screen replacement needed, advice given",,,
restart_1583,The Restart Project,Laptop medium,IBM,????,Fixed,Restart HQ,2015-08-23,"After installing Linuxmint, the owner wanted help fitting an SSD drive",,,
restart_1584,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2015-08-23,Screen issue - thought it was the inverter cable but probably not,,,
restart_1585,The Restart Project,Portable radio,Roberts,????,Fixed,Restart HQ,2015-08-23,Intermittent fault,,,
restart_1586,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-08-23,Dodgy power connection,,,
restart_1587,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-08-23,Owner thought they needed a new jack but they seemed ok,,,
restart_1588,The Restart Project,Printer/scanner,Canon,????,Repairable,Restart HQ,2015-08-23,Error printing in black.,,,
restart_1589,The Restart Project,Projector,Unknown,????,Fixed,Restart HQ,2015-08-23,Intermittent fault.,,,
restart_1590,The Restart Project,Toy,Unknown,????,Fixed,Restart HQ,2015-08-23,RC car has only two wheels functioning - hacked it back into shape,,,
restart_1591,The Restart Project,Mobile,BlackBerry,????,End of life,Restart HQ,2015-08-23,"Won't power on, even with a new battery",,,
restart_1592,The Restart Project,Laptop medium,Apple,????,Fixed,Restart HQ,2015-08-23,"speakers gone, headphones work",,,
restart_1593,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2015-08-23,Not booting. Malware?,,,
restart_1594,The Restart Project,Misc,Unknown,????,End of life,Restart HQ,2015-08-23,Charger,,,
restart_1595,The Restart Project,Laptop small,Dell,????,Fixed,Restart HQ,2015-08-23,"We were able to get it to boot, now it has a screen problem.",,,
restart_1596,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2015-08-23,New jack needed,,,
restart_1597,The Restart Project,TV and gaming-related accessories,Unknown,????,Fixed,Restart HQ,2015-08-23,DVD player disc tray not working.,,,
restart_1598,The Restart Project,Lamp,Unknown,????,Fixed,Restart HQ,2015-08-23,Cable needed refitting,,,
restart_1599,The Restart Project,Laptop medium,Apple,????,Fixed,Restart HQ,2015-08-23,Running really slow - and vastly improved,,,
restart_1600,The Restart Project,Hi-Fi separates,Unknown,????,Repairable,Restart HQ,2015-08-23,"Rucksack speakers, needed an appropriate power supply",,,
restart_1601,The Restart Project,Portable radio,Unknown,????,Fixed,Leicester Fixers,2015-08-22,,,,
restart_1602,The Restart Project,TV and gaming-related accessories,Nintendo,????,Fixed,Leicester Fixers,2015-08-22,,,,
restart_1603,The Restart Project,TV and gaming-related accessories,Nintendo,????,Fixed,Leicester Fixers,2015-08-22,,,,
restart_1604,The Restart Project,TV and gaming-related accessories,Nintendo,????,Repairable,Leicester Fixers,2015-08-22,,,,
restart_1605,The Restart Project,Small kitchen item,Unknown,????,Fixed,Leicester Fixers,2015-08-22,,,,
restart_1606,The Restart Project,Digital Compact Camera,Unknown,????,Repairable,Leicester Fixers,2015-08-22,,,,
restart_1607,The Restart Project,Portable radio,Unknown,????,Fixed,Restarters West London,2015-07-25,DAB radio stopped being able to turn it on,,,
restart_1608,The Restart Project,Portable radio,Unknown,????,End of life,Restarters West London,2015-07-25,Radio cassette player stopped working for no reason,,,
restart_1609,The Restart Project,Headphones,Unknown,????,Fixed,Restarters West London,2015-07-25,Can't hear anything through the left hand earphone,,,
restart_1610,The Restart Project,Laptop large,Unknown,????,Repairable,Restarters West London,2015-07-25,Making a high pitched noise and screen is blank when turned on. Outcome: Restarters saved the data so that person could find parts,,,
restart_1611,The Restart Project,Misc,Tefal,????,Repairable,Restarters West London,2015-07-25,Generator Iron smalls of burning when turned on,,,
restart_1612,The Restart Project,Mobile,Sony,????,Fixed,Restarters West London,2015-07-25,Something stuck in headphone port,,,
restart_1613,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restarters Torino,2014-05-18,non si apre cassetto cd,,,
restart_1614,The Restart Project,Desktop computer,Unknown,????,Fixed,Restarters Torino,2014-05-18,era lento,,,
restart_1615,The Restart Project,Handheld entertainment device,Unknown,????,Repairable,Restarters Torino,2014-05-18,non prendeva la videocassetta,,,
restart_1616,The Restart Project,Misc,Unknown,????,End of life,Restarters Torino,2014-05-18,il tester digitale non misurava,,,
restart_1617,The Restart Project,TV and gaming-related accessories,Unknown,????,Repairable,Restarters Torino,2014-05-18,"antenna tv amplificata, no amplificazione",,,
restart_1618,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restarters Torino,2014-05-18,non va in pressione,,,
restart_1619,The Restart Project,Hi-Fi integrated,Unknown,????,Repairable,Restarters Torino,2014-05-18,non legge i cd,,,
restart_1620,The Restart Project,Fan,Unknown,????,Repairable,Restarters Torino,2014-05-18,non giravano le pale,,,
restart_1621,The Restart Project,Small kitchen item,Unknown,????,Repairable,Restarters Torino,2014-05-18,lame ballerine,,,
restart_1622,The Restart Project,Mobile,Unknown,????,Fixed,Restarters Torino,2014-05-18,non si accendeva,,,
restart_1623,The Restart Project,Mobile,Unknown,????,Fixed,Restarters Torino,2014-05-18,inchiodato all' avvio,,,
restart_1624,The Restart Project,Laptop medium,Unknown,????,Fixed,Hackney Fixers,2013-11-16,No data,,,
restart_1625,The Restart Project,Printer/scanner,Unknown,????,Repairable,Hackney Fixers,2013-11-16,Problem with the PO ink,,,
